Objet; CG_i; CG_j; Surface; codeFreeman ; RE_Hi ; RE_Hj ; RE_Bi ; RE_Bj ; perimetre 
1;13.2975;20.0179;447;0000000000000000565455565656666656656566565555444433332322221223221121211112121 ; 0 ; 10 ; 29 ; 35 ; 91.8407
2;4.41969;62.8964;193;00000000000000000000666655555454445434434232322322 ; 0 ; 53 ; 11 ; 73 ; 54.9706
3;12.735;108.373;683;000000000000000000000007666666666676656665656565455445434444434433332233222222212222222122 ; 0 ; 95 ; 28 ; 122 ; 98.2843
4;9.8125;154.42;448;000000000000000000076667666656656655565454544444433422323223223222122212 ; 0 ; 143 ; 22 ; 166 ; 79.4559
5;13.6377;246.741;483;000000000000066666666666666666666666664545454453443332323222232222212221212121 ; 0 ; 237 ; 29 ; 255 ; 84.6274
6;15.831;197.255;290;00707707066666665656555544544433332322222221221101001 ; 6 ; 189 ; 26 ; 206 ; 61.6985
7;26.1328;44.5685;241;0700776766666656655645444443432322322222211101001 ; 17 ; 37 ; 35 ; 52 ; 56.0416
8;21.8315;137.202;89;00007676656564544433222222101 ; 17 ; 133 ; 27 ; 142 ; 32.7279
9;27.8138;218.948;290;0000007666677667666665565544544443433222322222121212111 ; 17 ; 211 ; 38 ; 227 ; 62.8701
10;26.2857;0.8;35;67676666666565222222222222 ; 19 ; 0 ; 33 ; 2 ; 27.6569
11;33.1754;173.99;513;00000007000067767766666665656555655544444443443323332322222212212111101 ; 21 ; 162 ; 46 ; 186 ; 82.1838
12;41.2394;73.3142;681;070000767767666666666666666555555445455444444434343432322222212121212212111111000101 ; 25 ; 59 ; 56 ; 86 ; 97.2549
13;47.1033;233.231;242;00707776766665666555544444432323323222211111001 ; 38 ; 225 ; 56 ; 241 ; 55.6985
14;44.6667;7.8;105;00000766666666554534433222212121 ; 39 ; 3 ; 51 ; 12 ; 36.1421
15;54.7871;138.467;465;00000777677767666666665665655454444444343433322322222213212211101001 ; 42 ; 128 ; 67 ; 149 ; 78.7696
16;59.2884;194.65;423;00000666667765665665656565666656555554443343332222122121211112212221211101 ; 43 ; 184 ; 75 ; 205 ; 87.2549
17;57.5197;28.4784;533;000000770777776766656656656655554454544444343333232222222212212121120101 ; 44 ; 17 ; 71 ; 41 ; 84.4264
18;73.1632;98.9241;435;0000070776666666666666566655555544444434333322222222221121121112001 ; 60 ; 89 ; 86 ; 108 ; 76.5269
19;70.6021;214.109;284;00070767766666656665655454454434333222212222212111101 ; 60 ; 206 ; 81 ; 222 ; 61.6985
20;73.1264;245.239;364;00000006770666666666664556555444444444343233222222221111100101 ; 63 ; 235 ; 83 ; 255 ; 69.4559
21;72.731;167.386;171;007707766666565554544443332222212211101 ; 65 ; 161 ; 80 ; 174 ; 46.0416
22;83.894;63.8641;434;000706777766666665666665654545444444333333322322222122121100100001 ; 72 ; 53 ; 96 ; 74 ; 75.9411
23;83.6539;129.816;445;0000707007100101000007767666656544454444554555645544443434233222322122121111 ; 75 ; 116 ; 95 ; 146 ; 88.4264
24;85.9487;33.8278;273;070677776666666565555444444433332321221222211100001 ; 76 ; 25 ; 95 ; 42 ; 59.6985
25;97.3919;7.93822;518;0770777776666766766666666565555455454444443322222222222222222222222222221000001 ; 81 ; 0 ; 113 ; 18 ; 87.6985
26;94.7826;222.528;299;00007007767666666665655554444444433323322212121211101 ; 85 ; 213 ; 104 ; 231 ; 61.6985
27;99.1081;174.771;703;0700070000776766666766656656565555453444433333434344444434433222222222121110100007000710101 ; 87 ; 157 ; 114 ; 191 ; 105.498
28;105.158;250.634;183;00666666666666666666644444344233222222221120120101 ; 95 ; 245 ; 114 ; 255 ; 53.3137
29;111.473;102.783;383;00000007007077776676566655454545435444434343233322212212120101 ; 102 ; 91 ; 121 ; 115 ; 72.7696
30;122.222;37.0937;555;00007007767667666666666666556555554544443333433423232222222121211211101001 ; 108 ; 25 ; 137 ; 48 ; 86.4264
31;129.4;126.622;627;0000076667676666666656655655455656665665665555444444434332222222212111011111222223221222121101101 ; 109 ; 113 ; 149 ; 139 ; 112.326
32;113.25;83.4375;16;76654422201 ; 111 ; 82 ; 115 ; 85 ; 12.2426
33;132;164.928;665;00000707077666667677070070776667667665665654544544544443433322322223232333323322222222112101 ; 114 ; 151 ; 149 ; 180 ; 106.912
34;122.892;62.6471;204;00000077776766665655545444434232322222212211 ; 115 ; 56 ; 131 ; 70 ; 50.6274
35;127.374;223.853;613;00000000000007770707676766666665655654545544444344444444332323223222212221122111 ; 115 ; 210 ; 140 ; 238 ; 90.7696
36;125.462;252.231;26;07066455433111 ; 123 ; 249 ; 128 ; 255 ; 17.3137
37;139.514;7.24101;278;00077707766666666655655544444444323222222222222101111 ; 129 ; 0 ; 149 ; 15 ; 60.0416
38;162.142;89.052;923;0000000077677666665666666656656766666666566566665655555544454444343323233222222121212121121212222322221221221221011 ; 137 ; 75 ; 186 ; 101 ; 131.154
39;153.181;245.407;486;0000666666666666666666666645555545544444444433332222222112111101121111120101 ; 137 ; 233 ; 166 ; 255 ; 86.7696
40;146.743;66.8072;249;00000077766666666656556454444433323322222121221001 ; 138 ; 59 ; 156 ; 74 ; 56.6274
41;156.315;188.202;178;00000776766656566554544443323231222121101 ; 149 ; 181 ; 164 ; 195 ; 48.0416
42;162.993;136.502;432;0000000777766666666565655454454545444444433232222222211201211110001 ; 152 ; 125 ; 174 ; 148 ; 76.5269
43;168.8;16.0858;431;0000000070667676766566665665555454444444434433232222122122121121101 ; 157 ; 5 ; 180 ; 27 ; 76.5269
44;166.305;213.629;256;00070077666666666656555444444343423232221221111011 ; 157 ; 205 ; 175 ; 221 ; 57.4559
45;171.899;44.0932;397;0770767767666666765656565544544444343232322322222222212110101001 ; 159 ; 35 ; 184 ; 54 ; 73.9411
46;181.56;179.397;663;00700007777676766666767666656556555444444444444444343323222222222222221212111101001 ; 166 ; 167 ; 195 ; 193 ; 94.1838
47;184.434;232.997;394;00007776767666766565655545444544444343332232221222112101010101 ; 173 ; 222 ; 195 ; 244 ; 72.7696
48;197.275;130.363;593;000000070007077766676656666566565554544444443444443332322332321222211211010001 ; 185 ; 116 ; 210 ; 144 ; 89.598
49;200.373;253.12;75;06666666666666666434322223221212121 ; 192 ; 250 ; 208 ; 255 ; 37.8995
50;202.91;205.961;178;00070776666666655554544433232222222121011 ; 195 ; 200 ; 211 ; 212 ; 47.2132
51;215.599;26.1944;499;0000007776767676766666770766656666655545454434342332223233222222222322222221211 ; 199 ; 17 ; 232 ; 37 ; 90.1838
52;213.865;102.749;630;0000707770770670676767667666566555554545443443443323333323233222222221121010011 ; 199 ; 89 ; 229 ; 117 ; 94.3259
53;217.367;62.1057;558;000000707777767766666666666566656545454444434433232333232222222222221111101 ; 203 ; 51 ; 232 ; 73 ; 86.1838
54;225.788;4.00943;212;07070677766766766665665555544542222222222222222222222222 ; 213 ; 0 ; 238 ; 10 ; 61.799
55;227.196;233.95;576;000007007776777676666666665565544544444444444343433332223222122121110110101 ; 214 ; 220 ; 239 ; 247 ; 87.0122
56;229.799;180.317;880;0000000070170070000000000707770777666566566565554544545444444444344444344434332332233222222212121011 ; 217 ; 161 ; 243 ; 201 ; 114.083
57;233.331;137.966;296;000077077676666666565656554444343423323222213222111101 ; 223 ; 130 ; 244 ; 146 ; 63.1127
58;240.481;45.9654;231;007077676666665656556454443433232222221212211001 ; 231 ; 39 ; 250 ; 53 ; 55.4559
59;242.667;76.6667;6;005522 ; 242 ; 76 ; 244 ; 78 ; 6.82843
60;246.333;110.333;3;052 ; 246 ; 110 ; 247 ; 111 ; 3.41421
61;251.202;127.747;99;07000007006774444444444444444444444411010100001 ; 248 ; 116 ; 253 ; 139 ; 50.7279
62;251.08;178.943;87;000070707764444444444444444444111010001 ; 248 ; 169 ; 253 ; 188 ; 42.7279
63;251.414;234.5;58;000007077744444444444444411101 ; 249 ; 227 ; 253 ; 242 ; 33.3137
64;251.904;74.0385;52;0000700000070744444444444444444111 ; 250 ; 66 ; 253 ; 83 ; 36.4853
65;253;28.5;2;04 ; 253 ; 28 ; 253 ; 29 ; 2
66;253;31.5;2;04 ; 253 ; 31 ; 253 ; 32 ; 2
